id,artist_names,name,genres,acousticness,danceability,duration_ms,energy,speechiness,tempo,valence,
spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),pop,0.186,0.793,146437,0.512,0.0338,109.994,0.0662,
spotify:track:64FzgoLZ3oXu2SriZblHic,Taylor Swift,Bad Blood (Taylor's Version),pop,0.0385,0.619,211104,0.686,0.164,169.943,0.364,
spotify:track:6T0sEnqjmHISIKwFETeeiP,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),pop,0.198,0.699,171819,0.621,0.0369,118.048,0.344,
spotify:track:3AAY8YicetRPlDAkibHLiS,Miley Cyrus,Jaded,pop,0.0476,0.496,185933,0.593,0.0285,91.038,0.177,
spotify:track:3xIMkM5LgbVDkpO74O3Np3,Troye Sivan,Rush,"australian pop,pop,viral pop",0.00306,0.742,156391,0.839,0.0618,126.03,0.346,
spotify:track:1mqjZ74aZrrCZMyORvxQld,Dilsinho,Ele ou Eu - Ao Vivo,"pagode,sertanejo universitario,pagode novo",0.624,0.544,201231,0.62,0.032,145.93,0.528,
spotify:track:17vkpwdNFLE5T1Y4PE3stJ,Ana Castela,Boiadeira,"agronejo,sertanejo,sertanejo pop",0.383,0.552,169404,0.847,0.0799,165.742,0.74,
spotify:track:6vOdrnuWDwm6lKtuienvzt,Jão,Julho,pop nacional,0.247,0.529,187832,0.449,0.0293,86.016,0.33,
spotify:track:6WSVS6WEjVm4GWGsH2hHQz,"S3BZS, Mc Gw, Mc Menor Do Alvorada",MONTAGEM - PR FUNK,,0.712,0.622,61673,0.832,0.0612,128.907,0.829,
spotify:track:36FtXn63kzlJjwRx66Dyox,Jaldo Rodrigues,Por Vc Eu Bebo O Mar De Canudinho,,0.719,0.874,122137,0.427,0.0795,136.928,0.877,
spotify:track:5ydjxBSUIDn26MFzU3asP4,V,Rainy Days,"korean ost,j-division",0.739,0.633,179560,0.454,0.0875,74.828,0.282,
spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,"pop,piano rock",0.0988,0.697,148120,0.802,0.0456,139.951,0.822,
spotify:track:5oO3drDxtziYU2H1X23ZIp,Rihanna,Love On The Brain,"pop,urban contemporary,barbadian pop",0.0717,0.509,224000,0.637,0.0471,172.006,0.378,
spotify:track:3gjvKuuUrTiSJLTWXrgSp3,"AgroPlay, Ana Castela",VIDA LOKA - Ao Vivo,"agronejo,sertanejo,sertanejo pop",0.00698,0.759,146066,0.772,0.159,160.189,0.572,
spotify:track:2LZjtOXWZMSpRbQyd89HyQ,"DENNIS, Anitta",Monstrão,"funk carioca,pop nacional,funk das antigas,pagode baiano,pop,funk pop,sertanejo universitario,funk rj",0.55,0.896,127942,0.951,0.0527,131.882,0.742,
spotify:track:6zFpImDYig0CQhLL2NIfyN,"AgroPlay, Ana Castela",Nosso Quadro,"agronejo,sertanejo,sertanejo pop",0.334,0.694,173698,0.709,0.196,160.042,0.606,
spotify:track:5IZxQgaYrsKmQnLxKxCOrH,Nadson O Ferinha,Não Digita,"forro,arrocha",0.637,0.74,151144,0.812,0.037,135.928,0.703,
spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Anitta,Envolver,"pop nacional,pagode baiano,pop,funk pop,funk rj",0.152,0.812,193806,0.736,0.0833,91.993,0.396,
spotify:track:6zdL0aLZs6g61SPGrlMvrM,"DJ JOÃO PEREIRA, MC Koringa",DANÇA PRA ME PROVOCAR,"funk das antigas,funk carioca",0.269,0.615,157216,0.582,0.364,84.917,0.892,
spotify:track:0in6Rc29qdyOkhKyYw4A84,Di Propósito,Manda Áudio,"pagode,pagode novo",0.619,0.63,162057,0.63,0.0698,157.949,0.942,
spotify:track:2VATVdFqb7QqxfAcQPvNpc,Israel & Rodolffo,Ex Alcoolizado - Ao Vivo,"agronejo,arrocha,sertanejo universitario,sertanejo pop,sertanejo",0.361,0.687,162444,0.786,0.0444,115.959,0.483,
spotify:track:651TnlaPHkX1rs2cDPg8sX,Os Barões Da Pisadinha,Aí Eu Chorei (Vestido da Shein) - Ao Vivo,"agronejo,arrocha,piseiro,sertanejo universitario,forro",0.1,0.571,135688,0.929,0.0398,158.008,0.968,
spotify:track:3104dnDJtjJeeHWApK1tCy,"LUDMILLA, Tasha & Tracie, Ajaxx",Sou Má,"funk carioca,rap feminino nacional,pop nacional,pagode baiano,funk pop,trap brasileiro,funk rj",0.0937,0.839,210462,0.665,0.269,130.009,0.64,
spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),pop,0.00621,0.497,294190,0.635,0.0273,142.063,0.203,
spotify:track:48a10s0prwFVvEbGWdVhi7,"DJ Jonatas Felipe, DogBeat",Mega do Akon,"deboxe,mega funk",0.094,0.834,145960,0.673,0.044,128.009,0.923,
spotify:track:1bzRhnrWU1l1u4Bby9ZbfQ,"AgroPlay, Ana Castela",Nosso Quadro,"agronejo,sertanejo,sertanejo pop",0.33,0.689,173698,0.71,0.196,160.015,0.606,
spotify:track:2jNychTlNots7P3bMt41aa,Isaias Saad,Bondade de Deus,"adoracao,brazilian gospel",0.344,0.455,375653,0.518,0.0317,135.926,0.154,
spotify:track:6DyMzG7o8CKHPief9ayvmm,"Marcos & Belutti, João Gomes",Saudade Digitando - Ao Vivo,"sertanejo,piseiro,sertanejo universitario,sertanejo pop,forro",0.401,0.714,170229,0.762,0.0371,149.929,0.901,
spotify:track:5jsCH1ydkfz1icE9BabgnZ,Pabllo Vittar,Cadeado,"funk carioca,pop nacional,pop lgbtq+ brasileira,dance pop,funk pop",0.164,0.619,168267,0.878,0.0491,179.829,0.613,
spotify:track:2xgeL9QPmS1J0FPTKm92wV,Diego & Victor Hugo,Bestasexual - Ao Vivo,"sertanejo universitario,sertanejo,arrocha,sertanejo pop",0.413,0.722,168119,0.688,0.0355,113.947,0.726,
spotify:track:6hu4HvpNzrW2RIEEAZC3vD,"KayBlack, Marquinho no Beat, Wall Hein",Segredo,"trap funk,trap brasileiro,no beat",0.332,0.799,104145,0.49,0.178,86.272,0.662,
spotify:track:4GXrKLzDyWYJnD2TbgvKiN,Heitor e Murilo,Olho Encharcado - Ao Vivo,,0.785,0.683,209139,0.58,0.0512,139.83,0.427,
spotify:track:745VUhm32odbxJI2q1rUMv,"MC Guh SR, MC Pê Original, Dj Pikeno Mpc, Markim WF",Ela Voltou de Perna Bamba,"funk mtg,funk mandelao",0.339,0.647,199384,0.899,0.223,130.167,0.225,
spotify:track:7cHfnWEkL5KqfLg03G7Gic,"MC Cabelinho, L7NNON, Filipe Ret, Dallass",EU SOU O TREM,"pop rap brasileiro,trap funk,trap brasileiro,funk consciente,funk rj",0.263,0.772,225600,0.713,0.0485,120.011,0.76,
spotify:track:1M6rclDhYmqRBMFGNJOFKB,"Grandão Vaqueiro, NATTAN",Americana Na Vaquejada,forro,0.184,0.588,156330,0.794,0.0399,139.903,0.357,
spotify:track:21VmGZLEhMu6e8cACBmS2A,"Mc IG, MC Ryan SP, Kotim",Quem Vai Patrocinar?,"funk consciente,funk paulista,funk carioca,funk mtg",0.259,0.797,227294,0.636,0.479,112.856,0.765,
spotify:track:1JPGcclM9bwS55QDlp27K1,Luísa Sonza,Principalmente Me Sinto Arrasada,"pop nacional,funk carioca",0.199,0.325,173726,0.565,0.0442,93.379,0.161,
spotify:track:6dZDlGzteUj6t8ztc2COMO,Luísa Sonza,Chico,"pop nacional,funk carioca",0.931,0.749,182112,0.309,0.0412,99.994,0.464,
spotify:track:1DNAEwpLu0ZxIQ0f9Bfgpr,Luísa Sonza,Luísa Manequim,"pop nacional,funk carioca",0.0239,0.669,149629,0.939,0.194,167.059,0.866,
spotify:track:27op1XmPhbmoR0AjmVCBIY,Matheus & Kauan,Só Toca Quem Sabe - Ao Vivo,"agronejo,arrocha,pop nacional,sertanejo universitario,sertanejo",0.235,0.633,178163,0.763,0.181,141.969,0.457,
spotify:track:6iF4RgIjDvDqyW13PezSj3,Selena Gomez,Single Soon,"post-teen pop,pop",0.00863,0.61,171655,0.571,0.0782,105.01,0.747,
spotify:track:6E8KBuOUM9e23f9fyHsDU1,"MC Cabelinho, Ariel Donato",QUEM SOU EU?,"trap funk,trap brasileiro,funk consciente",0.677,0.863,125534,0.572,0.077,124.954,0.613,
spotify:track:156LKAN2oh16qflL5oz4tO,MC PH,Os Bico Tão Se Perguntando (Let’s Go 3),"funk consciente,funk paulista",0.044,0.652,177552,0.481,0.0779,173.555,0.815,
spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Henrique & Juliano,Te Esqueci Sem Querer - Ao Vivo Em Brasília,"agronejo,sertanejo universitario,sertanejo,arrocha",0.194,0.635,151093,0.789,0.0365,106.12,0.666,
spotify:track:64I2WXRrFWWxjRh8uTYYQB,Henrique & Juliano,Abre A Mente - Ao Vivo Em Brasília,"agronejo,sertanejo universitario,sertanejo,arrocha",0.126,0.62,190704,0.844,0.0501,98.99,0.476,
spotify:track:4SO47HbaWop3fHAKP7fwT4,Luísa Sonza,Outra Vez,"pop nacional,funk carioca",0.203,0.53,209442,0.554,0.0362,136.063,0.32,
spotify:track:51FFbyL0PjkYtjXJQP0JoP,Gusttavo Lima,Saudade da Minha Vida - Ao Vivo,"agronejo,sertanejo universitario,sertanejo,arrocha",0.108,0.509,194850,0.935,0.0709,158.927,0.769,
spotify:track:7nFvKgVumc9FcU97zGjjei,WIU,Coração de Gelo,trap brasileiro,0.124,0.732,168000,0.671,0.082,159.907,0.836,
spotify:track:41WQUSINanQHfhfKpFDsms,Miley Cyrus,Used To Be Young,pop,0.6,0.451,190461,0.632,0.0475,147.06,0.455,
spotify:track:2EvWcRC0FinZpx1jUfG4NB,Simone Mendes,Você Mereceu - Ao Vivo,"sertanejo universitario,sertanejo",0.29,0.592,162963,0.766,0.101,111.921,0.704,
spotify:track:7AZPao1jegnylQcnDfNBxl,Péricles,Graveto - Ao Vivo,"pagode,pagode novo",0.665,0.55,168166,0.698,0.0367,96.973,0.531,
